id,name,student,task,time,randomness,data
17029,run-program,8618,19.0,2017-12-13T14:54:47.350135Z,674764978,"{'task_session_id': 1157, 'program': 'sslffl', 'correct': False}"
17030,edit-program,8618,19.0,2017-12-13T14:54:51.165553Z,513524204,"{'task_session_id': 1157, 'program': 's'}"
17031,edit-program,8621,19.0,2017-12-13T14:54:51.700318Z,285154164,"{'task_session_id': 1158, 'program': 's'}"
17032,edit-program,8620,19.0,2017-12-13T14:54:52.529002Z,156787504,"{'task_session_id': 1159, 'program': 'l'}"
17033,edit-program,8618,19.0,2017-12-13T14:54:52.962977Z,547022899,"{'task_session_id': 1157, 'program': ''}"
17034,run-program,8617,6.0,2017-12-13T14:54:53.044858Z,265263199,"{'task_session_id': 1147, 'program': 'srlslrsff', 'correct': True}"
17035,run-program,8621,19.0,2017-12-13T14:54:53.389826Z,595632615,"{'task_session_id': 1158, 'program': 's', 'correct': False}"
17036,edit-program,8618,19.0,2017-12-13T14:54:54.408383Z,625563569,"{'task_session_id': 1157, 'program': 'slffl'}"
17037,run-program,8618,19.0,2017-12-13T14:54:58.160111Z,97406104,"{'task_session_id': 1157, 'program': 'slffl', 'correct': False}"
17038,edit-program,8621,19.0,2017-12-13T14:54:59.255786Z,477279059,"{'task_session_id': 1158, 'program': 'sl'}"
17039,edit-program,8619,6.0,2017-12-13T14:55:00.616551Z,617092509,"{'task_session_id': 1143, 'program': 'rffl'}"
17040,start-task,8617,51.0,2017-12-13T14:55:00.994809Z,201985170,{'task_session_id': 1160}
17041,edit-program,8618,19.0,2017-12-13T14:55:01.316336Z,1023596477,"{'task_session_id': 1157, 'program': 'slff'}"
17042,run-program,8619,6.0,2017-12-13T14:55:04.702001Z,828930807,"{'task_session_id': 1143, 'program': 'rffl', 'correct': False}"
17043,run-program,8621,19.0,2017-12-13T14:55:05.922896Z,559501714,"{'task_session_id': 1158, 'program': 'sl', 'correct': False}"
17044,edit-program,8619,6.0,2017-12-13T14:55:11.494330Z,1033142339,"{'task_session_id': 1143, 'program': 'rff'}"
17045,edit-program,8619,6.0,2017-12-13T14:55:12.509667Z,115289394,"{'task_session_id': 1143, 'program': 'rf'}"
17046,run-program,8620,19.0,2017-12-13T14:55:12.819581Z,869896199,"{'task_session_id': 1159, 'program': 'l', 'correct': False}"
17047,edit-program,8619,6.0,2017-12-13T14:55:15.471962Z,377593032,"{'task_session_id': 1143, 'program': 'rfl'}"
17048,run-program,8618,19.0,2017-12-13T14:55:17.520502Z,401869873,"{'task_session_id': 1157, 'program': 'slff', 'correct': False}"
17049,start-task,8617,14.0,2017-12-13T14:55:20.704884Z,368585291,{'task_session_id': 1161}
17050,edit-program,8621,19.0,2017-12-13T14:55:24.887504Z,87875058,"{'task_session_id': 1158, 'program': ''}"
17051,run-program,8618,19.0,2017-12-13T14:55:25.276407Z,484068382,"{'task_session_id': 1157, 'program': 'slff', 'correct': False}"
17052,edit-program,8618,19.0,2017-12-13T14:55:26.451520Z,376106559,"{'task_session_id': 1157, 'program': 'slf'}"
17053,edit-program,8618,19.0,2017-12-13T14:55:29.124376Z,792929645,"{'task_session_id': 1157, 'program': 'slfl'}"
17054,edit-program,8621,19.0,2017-12-13T14:55:29.415424Z,797469879,"{'task_session_id': 1158, 'program': 'l'}"
17055,edit-program,8618,19.0,2017-12-13T14:55:32.770194Z,956421795,"{'task_session_id': 1157, 'program': 'slfll'}"
17056,run-program,8619,6.0,2017-12-13T14:55:33.694695Z,366468157,"{'task_session_id': 1143, 'program': 'rfl', 'correct': False}"
17057,edit-program,8621,19.0,2017-12-13T14:55:35.643765Z,208523090,"{'task_session_id': 1158, 'program': 'lf'}"
17058,edit-program,8618,19.0,2017-12-13T14:55:39.031252Z,61805908,"{'task_session_id': 1157, 'program': 'slflll'}"
17059,edit-program,8621,19.0,2017-12-13T14:55:39.469685Z,91388784,"{'task_session_id': 1158, 'program': 'lff'}"
17060,edit-program,8620,19.0,2017-12-13T14:55:39.810479Z,690363103,"{'task_session_id': 1159, 'program': 'lf'}"
