"category_id","level_id","toolbox_id"
"loops",5,"loops"
"comparing",7,"loops+if+position"
"repeat",3,"repeat"
"world",2,"shoot"
"uncategorized",9,"complete"
"if-else",8,"loops+if+else"
"moves",1,"fly"
"final-challenge",9,"complete"
"while",4,"while"
"if",6,"loops+if"
