"task_session_id","student_id","task_id","solved","given_up","start","end"
3d1b5c19-95bb-4aad-80b2-f1b3446a7924,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"turning-right-and-left",True,False,"2017-05-25 01:14:54.836547","2017-05-25 01:15:11.383381"
6cd21d7b-995e-4cf6-95d5-2aa3cfc0000b,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"wormhole-demo",True,False,"2017-05-22 14:26:41.754320","2017-05-22 14:27:07.554832"
eab967b3-3854-4a78-8836-42c0510186b8,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"diamond-on-right",True,False,"2017-05-16 06:41:56.904204","2017-05-16 06:43:45.508423"
e416c15b-feb3-4277-b37c-da0c203b37d3,d2ccc8f0-b13d-4b1a-9f3f-5321c25abce0,"turning-left-and-right",False,False,"2017-05-19 12:21:00.819951","2017-05-19 12:21:34.283966"
b6c4cdd3-779a-4f50-a1bc-65b69424bfaa,d2ccc8f0-b13d-4b1a-9f3f-5321c25abce0,"red-shooting",False,False,"2017-05-19 12:21:44.279642","2017-05-19 12:21:44.279642"
8957fa5d-53d3-4a22-a7dd-43e0fbac25f9,76766f0e-5c06-46bb-9ad5-a8008edf6a7d,"three-steps-forward",True,False,"2017-05-16 06:43:48.476068","2017-05-16 06:44:02.132439"
2fabffd0-f19d-4339-9a72-52631a044721,26589bc6-ec87-4b23-916e-606e5da913d7,"turning-right",False,False,"2017-05-19 14:25:19.470932","2017-05-19 14:51:44.984266"
18b05db6-8f0b-404e-b2f0-faa590c3928f,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"tunnel",True,False,"2017-05-25 01:15:43.286331","2017-05-25 01:16:57.844453"
4e4e7e5d-25e0-4328-9037-ecbcdb7886f9,247ae5ed-d0d6-4bf4-b906-534c300ad113,"2diamonds-2meteorids",False,False,"2017-05-16 17:35:03.268198","2017-05-16 17:36:44.708365"
f5dd4b9b-fed9-4d94-81b7-4c884ab86d9d,8f60b91f-2929-402d-b9f7-b4c9c7e7688f,"turning-right",True,False,"2017-05-24 15:15:37.202970","2017-05-24 15:16:47.384039"
6f17d365-2ea5-4f3a-b050-2d2eaefcc1fa,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"turning-left-and-right",True,False,"2017-05-22 14:27:09.949533","2017-05-22 14:27:26.659627"
b0438061-72e7-45c0-a60f-d3c1c187d361,c581d789-031c-4b28-a7c1-5f42a7d8cb18,"one-step-forward",True,False,"2017-05-17 08:47:48.977710","2017-05-17 08:48:02.096001"
5dc1d7b1-b35d-493b-9512-430e774226db,c581d789-031c-4b28-a7c1-5f42a7d8cb18,"two-bit-instructions",False,False,"2017-05-17 08:48:24.968230","2017-05-17 08:48:24.968230"
79801935-8d76-4e08-8c14-02082faa037f,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"tunnel",True,False,"2017-05-22 14:27:28.598312","2017-05-22 14:28:45.917527"
4fd5814f-525f-4dbb-9797-689d84940440,4440e77f-a12b-49e4-9959-548a052807ee,"dont-forget-shot",True,False,"2017-05-21 08:10:03.950854","2017-05-21 08:12:37.182618"
bb9fbbf4-69ee-4a11-b8c5-71fa087d14e6,4440e77f-a12b-49e4-9959-548a052807ee,"turning-left-and-right",True,False,"2017-05-21 08:07:21.459044","2017-05-21 08:08:41.083900"
4d612f63-9fa1-4b3f-a41d-783d905a4615,da2141d1-5069-4508-a37e-a0a71f2bcb18,"three-steps-forward",True,False,"2017-05-19 08:10:57.804403","2017-05-19 08:11:57.440567"
c5e89204-5273-4fc2-b0db-8d649b6e1c95,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"turning-left",True,False,"2017-05-22 14:23:41.657338","2017-05-22 14:25:26.948515"
1eb56d36-8350-4e22-a75f-6083ea279b29,c21aee8a-5c12-4848-9a64-621cb229acb4,"turning-left-and-right",False,False,"2017-05-24 17:24:44.909408","2017-05-24 17:28:12.854413"
a721a1b7-7089-4091-b79d-c2b07d2a13ca,4440e77f-a12b-49e4-9959-548a052807ee,"diamond-on-right",True,False,"2017-05-21 08:08:47.146662","2017-05-21 08:09:09.453935"
d1870489-bef9-49f2-b00e-1cf5b89ea4a1,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"dont-forget-shot",True,False,"2017-05-25 14:36:23.936793","2017-05-25 14:37:07.709548"
b6fc8248-42bb-4068-9752-5297ca0e6cc3,c21aee8a-5c12-4848-9a64-621cb229acb4,"three-steps-forward",True,False,"2017-05-24 17:29:31.547599","2017-05-24 17:29:51.118718"
f1ab5e5e-1f9a-4bfb-b868-8c79c86316ba,4440e77f-a12b-49e4-9959-548a052807ee,"shooting",True,False,"2017-05-21 08:12:39.660451","2017-05-21 08:13:22.120637"
201004be-a02c-4884-8488-2188b4a15bde,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"ladder",True,False,"2017-05-22 14:29:14.243157","2017-05-22 14:30:09.845899"
29c3e0d2-baac-4ae6-ac16-d7593f3f42f0,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"find-the-path",False,False,"2017-05-22 14:33:13.064182","2017-05-22 14:33:13.064182"
0cef9a68-af9c-4de9-9bfc-73ed83cadf21,c21aee8a-5c12-4848-9a64-621cb229acb4,"shooting",False,False,"2017-05-24 17:29:56.038188","2017-05-24 17:29:56.038188"
15e82dcb-3ae9-4080-876a-82f5a8bca9ce,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"beware-of-asteroid",True,False,"2017-05-25 01:15:14.953545","2017-05-25 01:15:35.853419"
199e669d-30e4-4a0f-b059-c5891829b93f,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"diamond-on-right",True,False,"2017-05-25 01:08:41.860482","2017-05-25 01:10:46.365486"
e18258ed-d156-449c-9844-5d4f20b75da2,c36ea6ac-26cd-4e2d-b216-57a38dd008e0,"diamond-on-right",True,False,"2017-05-22 14:25:35.710838","2017-05-22 14:26:23.167857"
de23b11d-e36b-403e-b01d-45141bfb3be6,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"turning-left",True,False,"2017-05-25 14:29:15.440628","2017-05-25 14:30:03.808588"
b368ada6-1ec4-4a90-a001-9cf5f58c8066,193da7c7-641d-4873-a3c3-e568e7f87c43,"diamond-on-right",False,False,"2017-05-25 00:36:48.443676","2017-05-25 00:40:11.713335"
baac2997-b569-4910-a198-b00be15a6731,4f3a94b9-009e-4583-921a-3c09e957c98a,"one-step-forward",True,False,"2017-05-24 07:38:40.559613","2017-05-24 07:40:09.418191"
4869b3fa-e868-475b-85d1-e26d03a88d0d,f33bd91a-88bd-4bd5-bc80-c12ae9ec561b,"turning-left",True,False,"2017-05-25 02:56:20.245412","2017-05-25 02:58:24.567288"
530a50f1-7f86-4fc0-836c-29119f9973cc,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"2diamonds-2meteorids",True,False,"2017-05-25 01:10:51.590819","2017-05-25 01:14:42.113057"
d4377d05-2e45-4147-a407-343c22cb3e93,f33bd91a-88bd-4bd5-bc80-c12ae9ec561b,"diamond-on-right",False,False,"2017-05-25 02:58:31.442924","2017-05-25 02:58:31.442924"
9d58a373-1eb9-4c0b-903f-789e072d6c71,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"steal-the-nose",True,False,"2017-05-25 01:27:56.496647","2017-05-25 01:28:41.514358"
